pid,Technical Name,Commercial Name,Type,Packaging,Rate Per Packing,Rate Per liter/kg,Stock
1,Acephate 75 SP,Asataf  Railis,Insecticde,500 g,490,980,104
2,Chlorpyrifos 20 EC,Chlorogaurd Gharda,Insecticde,1 Liter,325,325,100
3,Chlorpyrifos 20 EC,Sacban Shivalik,Insecticde,1 Liter,350,350,100
4,Chlorpyrifos 20 TC,Sacban TC Shivalik,Insecticde,1 Liter,650,650,100
5,Dichlorvos 76 SC,Dysac Shivalik,Insecticde,1 Liter,580,580,100
6,Dichlorvos 76 SC,Coach GSP,Insecticde,1 Liter,550,550,100
7,Dimethoate 30 EC,Tafgor Railis,Insecticde,1 Liter,495,495,100
8,Malathion 50 EC,Tusk Shivalik,Insecticde,1 Liter,390,390,100
9,Monocrotophos 36 SL,Monolik Shivalik,Insecticde,1 Liter,540,540,92
10,Monocrotophos 36 SL,Monomar GSP,Insecticde,1 Liter,505,505,100
11,Profenofos 50 EC,Prosac Shivalik,Insecticde,1 Liter,690,690,100
12,Quainalphos 25 EC,Flash  Indofil,Insecticde,1 Liter,475,475,100
13,Quainalphos 25 EC,Skill Shivalik,Insecticde,1 Liter,450,450,100
14,Triazophos 40 EC,Tryzo Shivalik,Insecticde,1 Liter,590,590,100
15,Carbofuran 3 CG,Furasac Shivalik,Insecticde,1 kg,100,100,95
16,Alphacypermethrin 10 EC,Alphagaurd Gharda,Insecticde,1 Liter,390,390,100
17,Alphacypermethrin 10 EC,Falcon Shivalik,Insecticde,1 Liter,390,390,36
18,Deltamethrin 11 EC ,Boxer Gharda,Insecticde,1 Liter,1650,1650,100
19,Fenvalerate 20 EC,Fenlik20% Shivalik,Insecticde,1 Liter,450,450,100
20,Fenvalerate 0.4% DP,Fenlik Shivalik,Insecticde,1 Liter,300,300,90
21,Lambda Cyhalothrin 2.5 EC,Reeva 2.5  Railis,Insecticde,1 Liter,390,390,101
22,Lambda Cyhalothrin 5 EC,Reeva 5  Railis,Insecticde,1 Liter,590,590,100
23,Indoxacarb 15.8 EC (14.5 EC),Kingdoxa Gharda,Insecticde,500 ml,1650,3300,100
25,Fipronil 0.3 GR,Agent Shivalik,Insecticde,1 kg,80,80,100
26,Fipronil 5 SC,Mahaveer Gr Gharda,Insecticde,1 Liter,990,990,100
27,Fipronil 5 SC,Agent 5SC Shivalik,Insecticde,1 Liter,950,950,100
28,Acetamiprid 20 SP,Manik Rallis,Insecticde,100 g,246,246,100
29,Imidacholoprid 17.8 SL,Atom lndofil,Insecticde,100 mL,150,1500,100
30,Imidacholoprid 17.8 SL,Tatamida Rallis,Insecticde,100 ml,225,2250,101
31,Imidacholoprid 17.8 SL,Maharaja Gharda,Insecticde,100 ml,150,1500,99
32,Thiamethoxam 25 WG,Slayer GSP,Insecticde,100 g,195,1950,100
33,Thiamethoxam 25 WG,Sactara Shivalik,Insecticde,100 g,190,1900,49
34,Chlorantraniliprole 18.5 SC,Coragen,Insecticde,150 ml,2290,15267,50
35,Cartap 4 GR,Kraft 4G Gharda,Insecticde,5 kg,450,90,91
36,Cartap 4 GR,Kildan Shivalik,Insecticde,1 kg,100,100,100
